,userid,age,gender,skinTone,skinType,skinConcern1,skinConcern2,skinConcern3
0,ffffe04b-cc6d-42ed-bdff-d34c1f681145,28,FEMALE,MIDDLE,COMBINATION,WHITENING,BLACKHEAD,DRY
1,fffc943d-2465-448e-8d4b-b6ad5ae94891,35,FEMALE,BRIGHT,COMBINATION,DRY,#,#
2,fff85d68-d364-4f0e-a541-6a26c9486b32,0,#,#,#,#,#,#
3,fff720a5-ae75-4095-9a41-1a775187cc0d,0,#,#,#,#,#,#
4,fff67ffa-4926-4859-b879-fd7f4166b396,31,FEMALE,MIDDLE,DRY,BLACKHEAD,WHITENING,WRINKLE
5,fff41575-80d6-417d-b541-d01d8302c09b,30,MALE,MIDDLE,DRY,SENSITIVE,#,#
6,fff3ef8f-4471-4788-afb9-7f8bb8236e88,39,FEMALE,BRIGHT,COMBINATION,WRINKLE,#,#
7,fff36287-782c-4281-8127-8e863413f087,0,#,#,#,#,#,#
8,fff31d50-201a-4643-87f3-139eb76b39c4,30,FEMALE,MIDDLE,DRY,WRINKLE,SENSITIVE,DRY
9,fff2c8b2-c961-4681-8ee4-2b28cebcaa21,0,#,#,#,#,#,#
10,ffec1da9-b467-458f-9791-3cbb126e37b5,0,#,#,#,#,#,#
11,ffe988a4-d8f7-4492-9665-a11ae8402379,19,FEMALE,BRIGHT,DRY,ACNE,DRY,#
12,ffe8b89b-6b2b-4aa2-a827-119b93044326,0,#,#,#,#,#,#
13,ffe7b72c-66ba-47f3-8577-69cff7a7f628,38,MALE,MIDDLE,COMBINATION,WRINKLE,SENSITIVE,ACNE
14,ffe46052-1707-4ea3-bdcd-a45fe85c6aad,17,FEMALE,MIDDLE,DRY,ACNE,DRY,BLACKHEAD
15,ffe42377-a8fd-42c4-9079-d0daf0891b2b,0,#,#,#,#,#,#
16,ffe26c6e-59f9-46ed-a8b6-ac53e2ef67af,0,#,#,#,#,#,#
17,ffe0fd17-b245-41cd-aa07-6492c55eaf03,30,MALE,MIDDLE,NORMAL,ACNE,#,#
18,ffdf38b1-a3d0-454c-b8e9-3eaf20b11252,36,FEMALE,BRIGHT,COMBINATION,ACNE,SENSITIVE,DRY
19,ffde1454-8053-4650-90f9-68b0c2a96f8d,15,FEMALE,MIDDLE,DRY,ACNE,SENSITIVE,WHITENING
20,ffddbafe-6ca5-4ba8-99ba-d26c019c09d5,0,#,#,#,#,#,#
21,ffdd8e9c-fad7-4c69-a398-220e59bd99e1,0,#,#,#,#,#,#
22,ffdd11c7-26a4-4c38-874d-e4d726687518,18,FEMALE,DARK,OILY,WRINKLE,BLACKHEAD,ACNE
23,ffdc819e-480a-496f-bb46-adec524e87d3,54,MALE,MIDDLE,DRY,WRINKLE,#,#
24,ffd8dc52-ffa6-4e4d-909b-3e2a45553746,0,#,#,#,#,#,#
25,ffd665ed-5b32-4d57-b3bc-2fe9a52206a9,15,FEMALE,MIDDLE,COMBINATION,BLACKHEAD,ACNE,#
26,ffd63378-26b5-42b7-ac8d-5595e4fa6017,0,#,#,#,#,#,#
27,ffd4c5b8-1cb5-4b49-ac99-288b72be69df,0,#,#,#,#,#,#
28,ffd3405c-f836-47df-8db7-256e3ac9f0c3,0,#,#,#,#,#,#
29,ffd21bae-4d6c-491d-9493-f4e128e5d467,31,MALE,DARK,DRY,WRINKLE,ACNE,DRY
30,ffd0c459-8ccc-4e2f-8a29-0719b8a6cb9b,0,#,#,#,#,#,#
31,ffd04754-cf98-4a92-ae6a-1ff9e0593454,47,MALE,MIDDLE,DRY,SENSITIVE,#,#
32,ffcd75b4-6ee0-4da3-9ee2-e32c8a9c65d0,0,#,#,#,#,#,#
33,ffca3922-7f0d-4b97-b33c-37731c995bfd,0,#,#,#,#,#,#
34,ffc8ce4f-5383-4bc7-9bf3-3d2744ada91b,0,#,#,#,#,#,#
35,ffc89196-111c-4668-8e56-45250c717841,22,FEMALE,BRIGHT,OILY,SENSITIVE,DRY,BLACKHEAD
36,ffc85b6d-8ee6-445e-b6b3-090bda948f61,16,FEMALE,BRIGHT,COMBINATION,DRY,BLACKHEAD,SENSITIVE
37,ffc77184-1e27-40b4-8fb2-3c6df9c85c81,25,MALE,DARK,COMBINATION,BLACKHEAD,#,#
38,ffc5cf10-a969-44b8-bbc4-a3fb7607f064,0,#,#,#,#,#,#
39,ffc5ccea-8ba3-470a-88d9-050387467c49,23,FEMALE,BRIGHT,OILY,BLACKHEAD,ACNE,#
40,ffc49a1a-88e1-458b-b39c-8eaf54be66bf,27,FEMALE,MIDDLE,DRY,WRINKLE,SENSITIVE,DRY
41,ffc49019-4d56-4c59-af4b-8497f6bd0f97,0,#,#,#,#,#,#
42,ffc45ac0-7072-414a-a493-38ef55a3312d,0,#,#,#,#,#,#
43,ffc28cd5-c626-4f67-ba30-826b419010c1,16,FEMALE,DARK,DRY,BLACKHEAD,WHITENING,DRY
44,ffc122c0-fc88-4cf3-9ab1-72a816952511,0,#,#,#,#,#,#
45,ffc0111f-49d1-42db-af53-2f8c2452b972,0,#,#,#,#,#,#
46,ffbf9b48-a85a-465c-b9e3-f43bbb71fd29,31,FEMALE,MIDDLE,DRY,WHITENING,DRY,WRINKLE
47,ffbf5295-306c-4872-9f7e-22f88114f90c,0,#,#,#,#,#,#
48,ffbec2cb-d088-43f8-bbf0-5df9ca8df50a,17,FEMALE,MIDDLE,COMBINATION,BLACKHEAD,DRY,ACNE
49,ffbd488b-5003-4811-b47b-3f04e7cde34a,0,#,#,#,#,#,#
50,ffbc7ff1-ba89-4609-96a5-82f2715c4d50,37,MALE,MIDDLE,NORMAL,SENSITIVE,DRY,#
51,ffbc4b9b-8bcf-4c9c-a005-d50676d31b63,18,FEMALE,MIDDLE,NORMAL,ACNE,#,#
52,ffbbccc0-7301-47a6-9d77-1dec7cab58f6,0,#,#,#,#,#,#
53,ffb4bc7c-6c3f-45d4-a218-7d62069e8e1e,0,#,#,#,#,#,#
54,ffb3373c-253c-4228-abab-70f46668e5a0,0,#,#,#,#,#,#
55,ffb332bd-ad51-4571-aada-dec7b12a542d,33,FEMALE,MIDDLE,COMBINATION,DRY,WRINKLE,ACNE
56,ffb1c5e6-1746-4ce8-97c0-4accff374bf9,0,#,#,#,#,#,#
57,ffaf3070-96c3-4075-9853-a738f919b1f0,29,FEMALE,MIDDLE,NORMAL,WRINKLE,DRY,BLACKHEAD
58,ffaf1dcb-0bae-42d7-ab47-518d8727eca6,30,FEMALE,BRIGHT,OILY,SENSITIVE,#,#
59,ffaee61f-dbc0-417d-a25a-c9fb7aafec03,0,#,#,#,#,#,#
60,ffadd939-9be6-4368-b41c-76826d63c470,0,#,#,#,#,#,#
61,ffadc6a4-53c4-4961-a2fa-7abb6de08388,0,#,#,#,#,#,#
62,ffacbbda-6f32-427d-96e7-95fdface1bc4,0,#,#,#,#,#,#
63,ffac0b27-ff31-4608-b4ae-2ae449ba1e99,27,FEMALE,MIDDLE,COMBINATION,BLACKHEAD,SENSITIVE,DRY
64,ffa9156f-fc6c-4973-a180-df8e94b21b14,28,MALE,BRIGHT,OILY,SENSITIVE,BLACKHEAD,ACNE
65,ffa82d44-1222-4100-9701-dbc20764ef60,0,#,#,#,#,#,#
66,ffa64a76-69dc-4bfd-ac6a-1fe61209008d,36,FEMALE,MIDDLE,DRY,BLACKHEAD,WRINKLE,#
67,ffa5dea7-52bf-4307-a510-d360de0ab76b,0,#,#,#,#,#,#
68,ff9fb0c3-6b64-4309-a0be-20523536b83f,44,FEMALE,BRIGHT,DRY,WHITENING,#,#
69,ff9e9f26-fcec-4d60-b971-bad10bb4e887,0,#,#,#,#,#,#
70,ff9e449f-7d3e-46d2-9df2-2bf359c4542d,22,FEMALE,MIDDLE,OILY,BLACKHEAD,WHITENING,ACNE
71,ff9dd05e-9c97-4506-8bf7-67bd59a6c90d,35,FEMALE,MIDDLE,DRY,BLACKHEAD,SENSITIVE,DRY
72,ff9cfb7a-ceab-4e75-929a-e83e6f40b5be,0,#,#,#,#,#,#
73,ff9c8978-544f-49ec-85d1-8701b06b441f,33,MALE,DARK,OILY,BLACKHEAD,WRINKLE,DRY
74,ff9b0028-2d02-47bc-93f8-c2cde5a1cfd2,0,#,#,#,#,#,#
75,ff9a1e4f-c215-4f4e-9947-3cc39d23da27,0,#,DARK,COMBINATION,BLACKHEAD,WHITENING,WRINKLE
76,ff97024f-d4b2-41a5-bd47-d0bb95a75313,54,FEMALE,MIDDLE,OILY,BLACKHEAD,#,#
77,ff958aac-9ec6-4dc8-a77f-621c41128de7,0,#,#,#,#,#,#
78,ff946966-c06c-485d-a9ca-07b8a8ce45b6,30,FEMALE,BRIGHT,COMBINATION,ACNE,DRY,SENSITIVE
79,ff944253-f00b-4461-88b3-99c5f1bcfc71,38,MALE,DARK,COMBINATION,BLACKHEAD,ACNE,SENSITIVE
80,ff915e9b-616f-4dfa-af3f-49e17d83530c,27,MALE,BRIGHT,OILY,SENSITIVE,BLACKHEAD,#
81,ff91079c-6b4c-43a1-a4f7-c0aae7a56095,24,FEMALE,DARK,DRY,WHITENING,BLACKHEAD,DRY
82,ff90efda-f5e5-4b92-b61d-270222546c81,0,#,#,#,#,#,#
83,ff9006cf-8f4b-498c-92de-a69850d96910,30,FEMALE,MIDDLE,COMBINATION,BLACKHEAD,WHITENING,#
84,ff8ed5af-7de4-4882-85a8-4d991fe1aa5d,19,FEMALE,MIDDLE,COMBINATION,WHITENING,SENSITIVE,DRY
85,ff8ebe8e-04e1-4d41-87d0-8d47e714c4c9,0,#,#,#,#,#,#
86,ff8e3f9d-146a-45eb-b4a4-100e40c717d0,45,MALE,DARK,DRY,BLACKHEAD,DRY,#
87,ff875a4e-ea7a-4235-b59c-98d7364f1ffc,15,FEMALE,DARK,OILY,BLACKHEAD,WHITENING,ACNE
88,ff870751-1afa-4486-86be-f50b73d19209,30,FEMALE,BRIGHT,DRY,WHITENING,BLACKHEAD,WRINKLE
89,ff86f161-3306-46c6-a767-bafa7755563d,0,#,#,#,#,#,#
90,ff85924f-3a20-4cea-80fb-dfe9d52d46a8,19,FEMALE,BRIGHT,COMBINATION,SENSITIVE,ACNE,#
91,ff83dfb0-71e4-4eef-8174-262f0dc3b3cd,35,FEMALE,MIDDLE,COMBINATION,ACNE,WHITENING,SENSITIVE
92,ff83acee-b79f-4a48-b3a8-340d2c9fcbc2,0,#,#,#,#,#,#
93,ff81dd60-a114-4990-8f8d-362b2e4f782a,0,#,#,#,#,#,#
94,ff7fe5ea-97aa-4e74-820f-63fd519dc264,0,#,#,#,#,#,#
95,ff7eff0e-86bd-4756-916d-20694cc24095,23,FEMALE,DARK,COMBINATION,WHITENING,#,#
96,ff7ea009-b236-470f-85a0-044a511f26a1,0,#,#,#,#,#,#
97,ff7a88da-2c7d-4429-8eb1-b6d86ad26fce,0,#,#,#,#,#,#
98,ff79894c-ea01-4a08-83e1-e8f8d872386f,15,FEMALE,MIDDLE,DRY,SENSITIVE,WHITENING,DRY
99,ff76dc13-16ba-4a60-a25b-aedd4f8ab956,0,#,#,#,#,#,#
100,ff762fa7-159b-40ba-944f-09633e71be0d,23,FEMALE,BRIGHT,COMBINATION,WHITENING,BLACKHEAD,DRY
101,ff762242-8d4e-4d0a-99bb-258996dc457f,15,FEMALE,BRIGHT,NORMAL,BLACKHEAD,SENSITIVE,DRY
